Date(UTC),Price,ERC-20 Unique Address Total Count,ERC-20 Unique Address Receive Count,ERC-20 Unique Address Sent Count,Average Txn Fee (USD),Unique Address Total Count,Unique Address Receive Count,Unique Address Sent Count,Price (Wei),Gas Used,Hash Rate,Total Address,Transaction Count,Uncle Count,VelCur1yr,TxCnt,TxTfrCnt,TxTfrValMeanNtv,SplyAct1d,SplyAct7d,SplyAct30d,NVTAdj,NVTAdjFF,CapMVRVCur,CapMVRVFF
09/28/2015,0.59,0,0,0,0,1546,1003,1442,52683661382,171799357,391.4721,23160,6123,275,0.8048790066,6123,6018,119.4453259,4332513.678,4557861.854,13693662.14,146.1029697,132.0898463,1.63593024,1.47902383
09/29/2015,0.68,0,0,0,0,1533,962,1384,55437141860,155322802,347.3122,23283,5738,314,0.8101116801,5738,5637,71.83982788,4259483.369,4505035.46,13363199.57,208.3201956,188.3462635,1.81560795,1.64152579
09/30/2015,0.72,0,0,0,0,1491,924,1376,51461473059,161315703,332.8925,23385,5870,356,0.817377724,5870,5782,96.09276953,4404667.338,4602089.118,13440626.46,179.4221382,162.2248393,1.88747036,1.70655962
10/01/2015,0.68,0,0,0,0,1474,947,1329,51474669294,167413168,365.2783,23482,6421,373,0.8249354243,6421,6376,90.86948384,4863734.599,5109351.037,13610924.82,166.3144094,150.379395,1.7449154,1.57773053
10/02/2015,0.68,0,0,0,0,1376,857,1286,52567714347,175336965,378.4969,23563,6063,324,0.8266559957,6063,5952,25.04142103,4712643.159,5156599.749,13501512.82,636.8918768,575.891893,1.76594782,1.59680955
10/03/2015,0.69,0,0,0,0,1390,890,1291,52502578427,176738025,390.9186,23689,6112,292,0.8280270773,6112,6104,20.14811168,4171740.094,5172771.746,13457709.25,763.0266832,689.9720228,1.80112465,1.6286791
10/04/2015,0.67,0,0,0,0,1394,872,1295,50733256095,175625589,371.1233,23777,6624,281,0.8335364918,6624,6625,64.53623706,10381283.74,11355205.38,13370332.88,199.2520678,180.5867383,1.7681262,1.6024935
10/05/2015,0.63,0,0,0,0,1410,871,1336,50742818443,217225401,385.5859,23909,6279,292,0.8354626993,6279,6132,26.73538502,10378259.44,11346885.93,13370424.08,620.29363,562.2069829,1.76307409,1.59797315
10/06/2015,0.66,0,0,0,0,1416,907,1315,51375494165,185466056,368.4521,24005,6458,266,0.8420425325,6458,6369,79.55373623,4169100.37,11306011.28,13376217.19,160.2806087,145.2764149,1.87289931,1.69757339
10/07/2015,0.61,0,0,0,0,1374,881,1297,51181314265,227483136,366.9765,24102,7121,295,0.8459452511,7121,6950,44.63718361,4273842.464,11358233.12,13434454.77,302.8378913,274.4986522,1.73984036,1.577028
10/08/2015,0.62,0,0,0,0,1331,865,1243,56971870131,206603046,375.1336,24168,6926,270,0.8498817607,6926,6795,46.13346006,4191974.278,11157128.44,13368832.82,312.4857664,283.254289,1.82176106,1.65134444
